record_id,taxpayer_id,tin,business_name,owner_name,taxpayer_type,business_sector,lga,registration_date,tax_year,tax_month,tax_type,filing_due_date,filing_date,filing_status,amount_assessed,amount_paid,outstanding_balance,payment_status,payment_method,payment_date,audit_status,audit_result,penalty,annual_turnover,risk_level,compliance_score,revenue_office,notification_sent,registration_year,registration_month,filing_month,payment_month
1,100251,KAD-TIN-202500000,Robinson and Sons,Kayla May,Individual,Ict,Igabi,2024-11-23,2025,Nov,Paye,2025-02-18,2025-03-03,Filed,2357113,2357113,0,Paid,Portal,2025-02-18,Audited,No Issue,57314,126908867,High,97,Kaduna North,Yes,2024,November,February,February
2,100226,KAD-TIN-202500001,"Conrad, Colon and Wilson",Haley Lewis,Sme,Healthcare,Kaduna North,2025-01-01,2025,Jan,Business Premises,2025-12-29,,Not Filed,4621300,1759593,2861707,Partial,Portal,2026-01-17,Not Audited,No Issue,56443,411897789,Medium,33,Kaduna North,No,2025,January,December,January
3,100045,KAD-TIN-202500002,Davidson LLC,Barbara Buckley,Corporate,Manufacturing,Makarfi,2024-02-19,2025,Feb,Road Tax,2024-09-19,,Late,2268961,2268961,0,Paid,Ngn,2024-10-10,Audited,Pending,18233,26601779,High,49,Kaduna South,Yes,2024,February,September,October
4,100285,KAD-TIN-202500003,Burch-Waller,Jon Smith,Sme,Agriculture,Jaba,2025-03-13,2025,Jun,Withholding Tax,2025-08-09,2025-10-08,Filed,3238729,3238729,0,Paid,Ngn,2025-08-11,Audited,Pending,191136,133431865,Low,79,Kaduna South,No,2025,March,August,August
5,100333,KAD-TIN-202500004,"Alvarez, Rodriguez and Bennett",Amanda Gonzalez,Individual,Ict,Chikun,2025-04-18,2025,Jun,Road Tax,2026-04-10,,Not Filed,4722033,921132,3800901,Partial,Ngn,2026-04-12,Audited,Pending,188196,170941402,Low,83,Kaduna South,No,2025,April,April,April
6,100575,KAD-TIN-202500005,Arnold Group,Katherine Smith,Corporate,Agriculture,Sabon Gari,2024-03-14,2025,Jul,Road Tax,2024-08-26,2024-01-09,Filed,2118861,2118861,0,Paid,Pos,2024-09-01,Not Audited,No Issue,198123,27295410,Low,39,Zaria,Yes,2024,March,August,September
7,100391,KAD-TIN-202500006,"Jones, Mahoney and Rodriguez",Lisa Mayo,Corporate,Manufacturing,Lere,2025-02-09,2025,May,Paye,2025-10-13,,Not Filed,582909,201728,381181,Partial,Bank Transfer,2025-10-28,Not Audited,No Issue,76939,235412819,Low,78,Kaduna North,No,2025,February,October,October
8,100109,KAD-TIN-202500007,Jones Group,Steven Jackson,Corporate,Agriculture,Soba,2025-05-12,2025,Sep,Business Premises,2026-02-22,,Filed,4308742,4308742,0,Paid,Ngn,2026-03-02,Audited,Pending,84975,264318192,Low,34,Kaduna South,No,2025,May,February,March
9,100081,KAD-TIN-202500008,Watson Group,Valerie Wilson,Individual,Manufacturing,Giwa,2024-05-02,2025,Sep,Business Premises,2024-06-30,,Filed,4809334,4809334,0,Paid,Portal,2024-07-08,Not Audited,Pending,159014,229170451,Low,89,Zaria,Yes,2024,May,June,July
10,100449,KAD-TIN-202500009,Alvarado Ltd,Gregory Todd,Corporate,Manufacturing,Igabi,2024-12-31,2025,Apr,Business Premises,2025-07-08,2025-05-07,Late,3182478,3182478,0,Paid,Ngn,2025-07-07,Audited,Pending,57728,5860554,Low,100,Kaduna North,Yes,2024,December,July,July
